image_id,PredictionString
000001,0.988128 11 36.427917 222.186035 142.291290 344.005524 0.994452 14 2.915595 11.902512 262.607025 475.744537
000002,0.969177 18 105.197609 195.518265 159.472580 299.105652
000003,0.547052 8 239.134674 103.591576 309.629333 133.118484 0.842734 8 161.974182 180.334686 207.833359 211.867447 0.521199 8 362.522766 110.202057 390.563568 132.479706 0.376656 15 1.544260 95.797958 95.251625 211.964142 0.461034 8 226.811569 199.223663 265.668488 239.684204 0.784900 17 115.656158 97.396118 215.770508 133.742325 0.362351 8 83.156143 170.036301 136.421005 208.539978 0.325230 8 75.157539 169.016037 124.777527 208.250626 0.815602 17 236.742645 104.316765 311.532959 133.576508 0.586070 17 111.255798 97.772049 218.757950 135.371887 0.659039 8 121.228531 161.052261 166.342804 207.729980 0.329718 15 1.947734 90.936745 96.297562 211.439209 0.471353 17 233.732315 104.045837 314.701416 135.232010 0.693888 17 238.515869 103.938606 310.805206 132.419479 0.454741 17 238.377213 104.065025 311.474915 134.019958 0.864351 17 236.429443 103.940170 311.417908 134.824463
000004,0.993412 6 331.745026 219.706940 461.707886 261.895416 0.984969 6 127.711433 215.686768 172.620514 238.239731 0.986152 6 98.387909 217.026169 138.472916 237.023605 0.950083 6 77.261391 217.339844 108.385712 234.494476 0.991445 6 13.187099 206.685211 79.845932 244.272049 0.770800 6 85.401268 216.604691 127.782043 235.707611 0.990542 6 158.310699 217.932419 227.556931 243.893906 0.990632 6 214.534943 221.388412 308.065643 252.356644
000006,0.389841 8 152.042068 37.607567 234.062912 119.284348 0.965760 19 39.662720 52.099731 111.650139 129.879807 0.487564 10 136.218369 120.714928 280.593445 148.709412 0.960370 8 214.212448 150.912903 315.272766 276.860046 0.341075 8 116.867096 142.564774 240.408600 272.932617 0.341053 15 158.446671 100.995750 243.769913 178.549316 0.790858 8 114.815071 141.168213 220.605179 274.253876 0.343634 8 153.320084 38.473961 231.147064 108.955421 0.457776 15 153.468628 100.548973 243.388611 177.721802 0.985535 8 116.856697 139.904175 217.960358 276.172882 0.668171 15 157.330154 99.787842 244.332489 177.167114 0.903187 8 146.017838 38.004749 231.677017 129.794647 0.926209 10 125.731064 157.233154 319.518158 277.356964 0.948660 10 121.254021 156.089767 317.806335 277.371216 0.717422 8 209.034729 142.240829 282.690582 267.720367 0.924907 8 211.175232 147.833282 314.632324 276.090942
000008,0.808365 8 114.866730 16.805056 301.301361 273.278168 0.365010 17 385.329193 173.329391 432.364532 279.935852 0.437067 14 1.237832 78.788399 54.221043 182.386398 0.332585 10 103.937996 139.178680 273.833527 274.038879 0.976061 8 169.058807 13.119740 303.882965 184.927826 0.736669 10 0.428505 92.747543 142.429886 211.345825 0.596177 8 6.278694 73.697227 140.944946 212.132263 0.967078 8 124.045395 147.790451 271.266846 275.967041
000010,0.972699 12 59.672005 91.766968 167.156113 429.233337 0.994347 14 86.093987 75.317520 168.700958 266.406799 0.739960 14 84.407501 75.061394 167.664185 284.853485 0.498557 14 89.351746 74.852463 167.324295 282.699402 0.661380 19 51.726368 237.321838 79.875328 296.139038
000011,0.913417 7 125.206383 38.270016 324.809509 223.306976 0.685456 7 150.345474 100.690315 323.984436 222.759277
000013,0.801267 16 266.622559 160.889847 396.077118 250.336426
000014,0.476102 14 313.193268 5.957249 333.991699 35.303173 0.983762 14 355.350403 7.152260 403.960266 65.860535 0.333899 14 313.076233 5.941250 335.869049 65.599655 0.829971 5 199.072601 169.578049 273.057098 194.351761 0.655097 5 66.804848 157.873627 227.207275 229.261658 0.660165 14 316.664764 2.528992 363.818359 87.270561 0.896326 5 69.366066 161.170044 302.271179 229.578873 0.312606 14 351.972992 4.482814 404.913666 128.133682 0.399283 5 76.948883 163.172638 277.777893 198.523773 0.840925 5 72.652679 172.247757 213.715302 231.767517 0.872360 5 198.846634 165.942398 302.645142 198.093613 0.501706 5 73.528015 159.988358 269.217712 220.348923 0.932495 5 69.472710 163.778763 213.146515 230.922073 0.992424 6 419.292145 178.847061 500.002502 221.745255 0.994846 6 183.562546 195.243622 499.498108 320.097015 0.412331 14 329.868896 3.692292 362.172028 44.161327 0.918748 14 320.005432 3.859657 362.955505 67.419884
