image_id,PredictionString
000001,0.895869 11 39.208691 228.875198 141.766861 342.938873 0.990829 14 1.600809 13.213262 266.392578 473.629486
000002,0.883046 5 103.976372 198.177017 157.598389 302.351074
000003,0.001000 0 0.000000 0.000000 1.000000 1.000000
000004,0.968244 6 124.878922 218.102554 170.874115 241.385223 0.983800 6 160.822433 219.288040 226.547470 244.544037 0.983744 6 14.374796 209.284409 78.489243 246.260651 0.764139 6 87.359833 219.184067 127.850487 238.424484 0.984696 6 213.698715 222.618988 311.591766 253.025635 0.810317 6 78.202560 219.051132 112.500671 236.858185 0.989560 6 334.997620 222.641617 462.283234 262.125000
000006,0.574291 8 112.048187 140.528748 158.981277 276.174713 0.579485 8 243.342316 140.181885 279.237122 181.022583 0.969611 8 212.870911 143.419052 312.902100 279.395599 0.716256 8 118.056931 141.310455 221.232391 277.110260 0.812786 8 113.720840 140.038818 221.420013 278.156891 0.949988 10 132.101410 156.237732 322.502014 278.191620
000008,0.547554 10 100.602943 139.291367 272.549866 275.225311 0.933599 8 168.326584 16.218519 310.192017 185.836960 0.694734 8 3.418021 53.122585 141.947144 214.378479 0.790225 8 107.968559 17.825525 308.622009 273.772614
000010,0.992101 14 89.572090 75.285370 166.679108 269.976715 0.877927 12 56.778759 96.981827 166.103455 422.600159 0.899698 12 58.212231 176.841309 158.847214 422.906281
000011,0.502343 7 171.588028 101.594910 327.780670 222.154694 0.561329 7 142.982681 39.568935 322.665344 219.596313 0.631176 7 142.118546 39.292717 327.767792 220.386597 0.815912 7 154.064484 102.016068 330.098755 222.276703
000013,0.685835 16 264.966522 159.665237 389.819519 247.990280
000014,0.964688 6 67.344971 166.564682 273.227905 231.752686 0.971071 14 355.969238 9.789003 399.137268 63.119091 0.979337 6 412.542786 178.637146 499.979156 221.028854 0.985340 6 180.148209 197.606766 500.271088 314.837646
000015,0.973400 14 237.621048 104.994370 285.065094 208.671387 0.954964 1 63.328655 134.401978 316.843079 354.110199 0.787164 14 241.300369 69.303070 284.632843 203.237259
000018,0.946484 11 28.916933 32.681282 321.890350 278.477905
000022,0.992893 14 185.231201 34.524300 253.770508 170.479584 0.957197 12 73.149429 77.133430 369.633484 211.297440
